id,training_session_id,user_id,created_at,updated_at
768,82,357,00:09.6,00:09.6
769,82,506,00:10.2,00:10.2
770,82,345,00:10.8,00:10.8
771,82,442,00:11.4,00:11.4
772,82,320,00:11.9,00:11.9
773,82,73,00:12.6,00:12.6
774,82,500,00:13.5,00:13.5
775,82,312,00:13.9,00:13.9
776,82,306,00:14.2,00:14.2
777,82,653,00:14.4,00:14.4
778,82,694,00:14.7,00:14.7
779,82,381,00:14.9,00:14.9
780,83,611,00:15.2,00:15.2
781,83,140,00:15.4,00:15.4
782,83,390,00:15.7,00:15.7
783,83,744,00:15.9,00:15.9
784,83,69,00:16.1,00:16.1
785,84,756,00:16.4,00:16.4
786,84,628,00:16.6,00:16.6
787,84,769,00:16.9,00:16.9
788,84,610,00:17.1,00:17.1
789,84,573,00:17.3,00:17.3
790,84,95,00:17.6,00:17.6
791,84,225,00:17.8,00:17.8
792,84,151,00:18.1,00:18.1
793,84,502,00:18.3,00:18.3
794,84,158,00:18.6,00:18.6
795,84,204,00:18.8,00:18.8
796,84,509,00:19.1,00:19.1
797,85,411,00:19.3,00:19.3
798,85,474,00:19.6,00:19.6
799,85,581,00:19.8,00:19.8
800,85,763,00:20.1,00:20.1
801,85,661,00:20.3,00:20.3
802,85,718,00:20.6,00:20.6
803,85,325,00:20.8,00:20.8
804,85,215,00:21.1,00:21.1
805,85,81,00:21.3,00:21.3
806,85,677,00:21.6,00:21.6
807,85,575,00:21.8,00:21.8
808,85,632,00:22.0,00:22.0
809,85,410,00:22.3,00:22.3
810,86,411,00:22.5,00:22.5
811,86,661,00:22.8,00:22.8
812,86,587,00:23.0,00:23.0
813,86,544,00:23.3,00:23.3
814,86,632,00:23.6,00:23.6
815,86,147,00:23.8,00:23.8
816,86,325,00:24.1,00:24.1
817,86,474,00:24.3,00:24.3
818,86,575,00:24.6,00:24.6
819,86,581,00:24.9,00:24.9
820,86,410,00:25.2,00:25.2
821,86,763,00:25.5,00:25.5
822,31,639,00:25.7,00:25.7
823,31,164,00:26.0,00:26.0
824,31,255,00:26.2,00:26.2
825,31,457,00:26.5,00:26.5
826,31,678,00:26.7,00:26.7
827,31,659,00:26.9,00:26.9
828,31,396,00:27.2,00:27.2
829,31,279,00:27.4,00:27.4
830,31,408,00:27.7,00:27.7
831,31,467,00:27.9,00:27.9
832,31,501,00:28.2,00:28.2
833,32,349,00:28.5,00:28.5
834,32,365,00:28.7,00:28.7
835,32,285,00:29.0,00:29.0
836,5,181,00:29.2,00:29.2
837,5,53,00:29.4,00:29.4
838,5,660,00:29.7,00:29.7
839,5,340,00:29.9,00:29.9
840,5,125,00:30.2,00:30.2
841,5,566,00:30.4,00:30.4
842,5,548,00:30.7,00:30.7
843,47,494,00:30.9,00:30.9
844,47,750,00:31.1,00:31.1
845,47,247,00:31.4,00:31.4
846,47,710,00:31.7,00:31.7
847,47,272,00:31.9,00:31.9
848,47,489,00:32.1,00:32.1
849,47,5043,00:32.4,00:32.4
850,29,47,00:32.6,00:32.6
851,29,253,00:32.9,00:32.9
852,28,333,00:33.1,00:33.1
853,28,28,00:33.3,00:33.3
854,28,645,00:33.6,00:33.6
855,28,553,00:33.8,00:33.8
856,28,576,00:34.1,00:34.1
857,28,9,00:34.3,00:34.3
858,28,8,00:34.6,00:34.6
859,28,101,00:34.8,00:34.8
860,28,732,00:35.1,00:35.1
861,28,541,00:35.3,00:35.3
862,28,485,00:35.5,00:35.5
863,28,216,00:35.8,00:35.8
864,28,737,00:36.0,00:36.0
865,28,98,00:36.3,00:36.3
866,28,621,00:36.6,00:36.6
867,28,180,00:37.1,00:37.1
868,10,415,00:37.5,00:37.5
869,10,425,00:37.8,00:37.8
870,10,352,00:38.1,00:38.1
871,10,402,00:38.4,00:38.4
872,10,567,00:38.6,00:38.6
873,9,176,00:38.9,00:38.9
874,9,146,00:39.1,00:39.1
875,21,107,00:39.4,00:39.4
876,87,218,00:39.6,00:39.6
877,87,697,00:39.9,00:39.9
878,87,313,00:40.1,00:40.1
879,87,453,00:40.4,00:40.4
880,87,542,00:40.7,00:40.7
881,87,601,00:41.0,00:41.0
882,87,604,00:41.3,00:41.3
883,87,731,00:41.6,00:41.6
884,87,179,00:41.8,00:41.8
885,87,576,00:42.1,00:42.1
886,51,723,00:42.3,00:42.3
887,51,108,00:42.6,00:42.6
888,51,356,00:42.8,00:42.8
889,51,651,00:43.1,00:43.1
890,88,67,00:43.3,00:43.3
891,88,591,00:43.8,00:43.8
892,88,622,00:44.3,00:44.3
893,88,790,00:44.8,00:44.8
894,88,3566,00:45.1,00:45.1
895,88,240,00:45.4,00:45.4
896,88,43,00:45.6,00:45.6
897,88,280,00:45.9,00:45.9
898,89,595,00:46.1,00:46.1
899,89,554,00:46.4,00:46.4
900,89,560,00:46.6,00:46.6
901,89,7968,00:46.9,00:46.9
902,89,355,00:47.1,00:47.1
903,89,115,00:47.4,00:47.4
904,89,117,00:47.6,00:47.6
905,89,94,00:47.9,00:47.9
906,89,552,00:48.2,00:48.2
907,90,220,00:48.4,00:48.4
908,90,451,00:48.7,00:48.7
