id,company_number,name,method_of_combination,reported_as,functional_currency,hfm_entity_code,hfm_tax_entity,hfm_hv_code,created_at,updated_at,clean_name,tax_id,parent_id
304,5.01,"Bunge Caribe, SRL",Dormant,O,99.9,USD,N/A,N/A,2017-02-20 17:38:36.969607,2017-02-20 17:38:36.969607,bungecaribesrl,,
305,11.12,"International Produce, Inc.",Dormant,O,100.0,USD,N/A,N/A,2017-02-20 17:38:37.289639,2017-02-20 17:38:37.289639,internationalproduceinc,,
306,1.15,Bleecker Acquisition Corp.,Dormant,H,100.0,USD,N/A,N/A,2017-02-20 17:38:37.617671,2017-02-20 17:38:37.617671,bleeckeracquisitioncorp,,
307,25.01,"Almacen Terminal Santana, C.A.",Dormant,O,49.0,BOL,4501,"4501_Tax /
4501_Tax_L C",2017-02-20 17:38:37.944704,2017-02-20 17:38:37.944704,almacenterminalsantanaca,,
308,58.02,SC Unirea S.R.L.,Dormant,O,99.99,LEU,Various,"5800_Tax /
5800_Tax_L C",2017-02-20 17:38:38.273737,2017-02-20 17:38:38.273737,scunireasrl,,
309,58.03,SC Muntenia S.A.,Dormant,O,97.24,LEU,Various,"5800_Tax /
5800_Tax_L C",2017-02-20 17:38:38.60477,2017-02-20 17:38:38.60477,scmunteniasa,,
310,58.04,SC Interoil S.A.,Dormant,O,99.37,LEU,Various,"5800_Tax /
5800_Tax_L C",2017-02-20 17:38:38.929803,2017-02-20 17:38:38.929803,scinteroilsa,,
311,47.12,Bunge Biodiesel Produktionsgesellschaft mbH,Dormant,O,100.0,EUR,43022615,43022615,2017-02-20 17:38:39.271837,2017-02-20 17:38:39.271837,bungebiodieselproduktionsgesellschaftmbh,,
312,73.02,Senwes Grainlink East Africa Ltd.,Dormant,O,100.0,USD,Various,"7201_Tax /
7201_Tax_L C",2017-02-20 17:38:39.59987,2017-02-20 17:38:39.59987,senwesgrainlinkeastafricaltd,,
313,41.53,GenPower Carbon Solutions Services (Malaysia) Sdn Bhd,Consolidate,O,100.0,MYR,41021801,CCC_Tax,2017-02-20 17:38:39.937903,2017-02-20 17:38:39.937903,genpowercarbonsolutionsservicesmalaysiasdnbhd,,
314,41.54,PT.GP Carbon Solutions Service Indonesia,Consolidate,O,99.0,IDR,41021801,CCC_Tax,2017-02-20 17:38:40.277937,2017-02-20 17:38:40.277937,ptgpcarbonsolutionsserviceindonesia,,
