id,name,created_at,updated_at
1,BSC,2017-02-20 17:48:31.648069,2017-02-20 17:48:31.648069
2,BBR,2017-02-20 17:48:32.156119,2017-02-20 17:48:32.156119
3,BMSI,2017-02-20 17:48:32.481152,2017-02-20 17:48:32.481152
4,BEMEA,2017-02-20 17:48:32.816185,2017-02-20 17:48:32.816185
5,BPL,2017-02-20 17:48:33.151219,2017-02-20 17:48:33.151219
6,BNA,2017-02-20 17:48:33.494253,2017-02-20 17:48:33.494253
7,BAS,2017-02-20 17:48:33.819286,2017-02-20 17:48:33.819286
