id,name,created_at,updated_at,type_name
1,Legal,2017-02-20 22:38:55.087413,2017-02-20 22:38:55.087413,LegalMatter
2,Compliance,2017-02-20 22:38:55.493413,2017-02-20 22:38:55.493413,ComplianceMatter
