id,policy_id,user_id,created_at,updated_at,task_id
1,1,3223,2017-04-05 05:58:15.439981,2017-04-05 05:58:15.439981,13760
2,1,11068,2017-04-05 06:26:22.50169,2017-04-05 06:26:22.50169,13761
3,1,17297,2017-04-05 06:57:22.043476,2017-04-05 06:57:22.043476,13762
4,1,2755,2017-04-06 07:11:36.150103,2017-04-06 07:11:36.150103,13620
5,1,689,2017-04-06 07:12:19.785107,2017-04-06 07:12:19.785107,13517
6,1,810,2017-04-06 07:12:25.030702,2017-04-06 07:12:25.030702,13528
7,1,689,2017-04-06 07:12:31.27,2017-04-06 07:12:31.27,13517
8,1,810,2017-04-06 07:12:39.066548,2017-04-06 07:12:39.066548,13528
9,1,227,2017-04-06 07:12:50.3381,2017-04-06 07:12:50.3381,13759
10,1,810,2017-04-06 07:13:04.319109,2017-04-06 07:13:04.319109,13528
11,1,106,2017-04-06 07:16:36.670508,2017-04-06 07:16:36.670508,13500
12,1,146,2017-04-06 07:17:14.221196,2017-04-06 07:17:14.221196,13704
13,1,60,2017-04-06 07:21:56.307871,2017-04-06 07:21:56.307871,13602
14,1,481,2017-04-06 07:24:14.472795,2017-04-06 07:24:14.472795,13703
15,1,529,2017-04-06 07:25:13.049185,2017-04-06 07:25:13.049185,13692
16,1,310,2017-04-06 07:28:07.182706,2017-04-06 07:28:07.182706,13553
17,1,16808,2017-04-06 07:31:23.465314,2017-04-06 07:31:23.465314,13659
18,1,61,2017-04-06 07:38:01.326755,2017-04-06 07:38:01.326755,13650
19,1,614,2017-04-06 07:38:40.539784,2017-04-06 07:38:40.539784,13795
20,1,17057,2017-04-06 07:40:10.326196,2017-04-06 07:40:10.326196,13579
21,1,241,2017-04-06 07:45:00.571984,2017-04-06 07:45:00.571984,13662
22,1,6020,2017-04-06 07:56:37.688631,2017-04-06 07:56:37.688631,13687
23,1,218,2017-04-06 08:13:31.749873,2017-04-06 08:13:31.749873,13584
24,1,713,2017-04-06 08:14:55.377031,2017-04-06 08:14:55.377031,13755
25,1,51,2017-04-06 08:21:59.541764,2017-04-06 08:21:59.541764,13785
26,1,813,2017-04-06 08:33:13.961897,2017-04-06 08:33:13.961897,13779
27,1,598,2017-04-06 08:33:41.057072,2017-04-06 08:33:41.057072,13664
28,1,598,2017-04-06 08:33:46.074142,2017-04-06 08:33:46.074142,13664
29,1,598,2017-04-06 08:33:47.178717,2017-04-06 08:33:47.178717,13664
30,1,168,2017-04-06 08:37:38.571963,2017-04-06 08:37:38.571963,13583
31,1,15067,2017-04-06 08:43:56.595358,2017-04-06 08:43:56.595358,13614
32,1,534,2017-04-06 09:03:47.14343,2017-04-06 09:03:47.14343,13772
33,1,583,2017-04-06 09:16:17.668889,2017-04-06 09:16:17.668889,13557
34,1,17155,2017-04-06 09:38:19.920245,2017-04-06 09:38:19.920245,13613
35,1,539,2017-04-06 09:55:04.43072,2017-04-06 09:55:04.43072,13757
36,1,794,2017-04-06 09:56:14.925066,2017-04-06 09:56:14.925066,13722
37,1,809,2017-04-06 10:02:48.355239,2017-04-06 10:02:48.355239,13502
38,1,508,2017-04-06 10:07:27.902299,2017-04-06 10:07:27.902299,13642
39,1,10245,2017-04-06 10:59:01.719706,2017-04-06 10:59:01.719706,13780
40,1,15053,2017-04-06 11:00:09.39272,2017-04-06 11:00:09.39272,13728
41,1,243,2017-04-06 11:11:11.907398,2017-04-06 11:11:11.907398,13716
42,1,15065,2017-04-06 12:16:35.135742,2017-04-06 12:16:35.135742,13747
43,1,408,2017-04-06 12:16:59.397402,2017-04-06 12:16:59.397402,13714
44,1,80,2017-04-06 12:24:39.389523,2017-04-06 12:24:39.389523,13508
45,1,198,2017-04-06 12:51:24.140348,2017-04-06 12:51:24.140348,13742
46,1,255,2017-04-06 12:54:09.822712,2017-04-06 12:54:09.822712,13660
47,1,279,2017-04-06 12:55:21.42166,2017-04-06 12:55:21.42166,13713
48,1,767,2017-04-06 12:59:32.971711,2017-04-06 12:59:32.971711,13615
49,1,209,2017-04-06 13:03:46.503771,2017-04-06 13:03:46.503771,13776
50,1,225,2017-04-06 13:06:24.02392,2017-04-06 13:06:24.02392,13594
51,1,665,2017-04-06 13:11:36.261844,2017-04-06 13:11:36.261844,13524
52,1,502,2017-04-06 13:20:51.568915,2017-04-06 13:20:51.568915,13701
53,1,639,2017-04-06 13:24:29.968073,2017-04-06 13:24:29.968073,13626
54,1,17140,2017-04-06 13:29:50.712455,2017-04-06 13:29:50.712455,13601
55,1,672,2017-04-06 13:35:01.238015,2017-04-06 13:35:01.238015,13724
56,1,672,2017-04-06 13:35:03.887684,2017-04-06 13:35:03.887684,13724
57,1,677,2017-04-06 13:50:14.255959,2017-04-06 13:50:14.255959,13564
58,1,13606,2017-04-06 13:51:55.053281,2017-04-06 13:51:55.053281,13625
59,1,8599,2017-04-06 14:06:18.925265,2017-04-06 14:06:18.925265,13712
60,1,256,2017-04-06 14:18:39.789485,2017-04-06 14:18:39.789485,13750
61,1,1355,2017-04-06 15:03:25.170175,2017-04-06 15:03:25.170175,13812
62,1,800,2017-04-06 15:07:47.944252,2017-04-06 15:07:47.944252,13565
63,1,653,2017-04-06 15:20:30.282079,2017-04-06 15:20:30.282079,13674
64,1,807,2017-04-06 15:34:38.052573,2017-04-06 15:34:38.052573,13535
65,1,540,2017-04-06 15:34:52.044973,2017-04-06 15:34:52.044973,13599
66,1,518,2017-04-06 16:56:16.462412,2017-04-06 16:56:16.462412,13549
67,1,45,2017-04-06 17:09:38.117976,2017-04-06 17:09:38.117976,13592
68,1,104,2017-04-06 17:35:31.527482,2017-04-06 17:35:31.527482,13743
69,1,406,2017-04-06 19:19:33.17693,2017-04-06 19:19:33.17693,13788
70,1,220,2017-04-06 19:19:54.519456,2017-04-06 19:19:54.519456,13632
71,1,23994,2017-04-06 19:39:28.219414,2017-04-06 19:39:28.219414,13695
72,1,782,2017-04-06 21:02:44.530988,2017-04-06 21:02:44.530988,13603
73,1,674,2017-04-06 22:01:24.801464,2017-04-06 22:01:24.801464,13720
74,1,766,2017-04-07 07:27:35.471408,2017-04-07 07:27:35.471408,13509
75,1,3032,2017-04-07 12:40:46.724388,2017-04-07 12:40:46.724388,13805
76,1,62,2017-04-07 13:28:58.784137,2017-04-07 13:28:58.784137,13548
77,1,7854,2017-04-07 16:02:01.047383,2017-04-07 16:02:01.047383,13784
78,1,174,2017-04-07 17:23:41.736138,2017-04-07 17:23:41.736138,13538
79,1,587,2017-04-07 19:42:17.671979,2017-04-07 19:42:17.671979,13605
80,1,114,2017-04-07 20:09:57.831601,2017-04-07 20:09:57.831601,13827
81,1,10435,2017-04-07 20:53:24.52279,2017-04-07 20:53:24.52279,13807
82,1,3217,2017-04-08 19:20:41.960323,2017-04-08 19:20:41.960323,13771
83,1,358,2017-04-09 15:32:23.539206,2017-04-09 15:32:23.539206,13700
84,1,2337,2017-04-10 08:40:46.97911,2017-04-10 08:40:46.97911,13667
85,1,31,2017-04-10 11:35:26.444276,2017-04-10 11:35:26.444276,13688
86,1,31,2017-04-10 11:35:40.244622,2017-04-10 11:35:40.244622,13688
87,1,755,2017-04-10 12:03:07.098825,2017-04-10 12:03:07.098825,13718
88,1,316,2017-04-10 14:51:27.191954,2017-04-10 14:51:27.191954,13639
89,1,313,2017-04-10 15:10:59.243578,2017-04-10 15:10:59.243578,13536
90,1,380,2017-04-10 15:21:32.327111,2017-04-10 15:21:32.327111,13765
91,1,23,2017-04-10 15:28:24.963317,2017-04-10 15:28:24.963317,13554
92,1,2841,2017-04-11 08:02:29.776744,2017-04-11 08:02:29.776744,13822
93,1,13781,2017-04-11 12:29:45.382684,2017-04-11 12:29:45.382684,13593
94,1,407,2017-04-11 14:55:50.677854,2017-04-11 14:55:50.677854,13540
95,1,344,2017-04-11 14:57:03.474352,2017-04-11 14:57:03.474352,13666
96,1,158,2017-04-12 15:21:55.406459,2017-04-12 15:21:55.406459,13721
97,1,2459,2017-04-13 12:57:59.176554,2017-04-13 12:57:59.176554,13654
98,1,601,2017-04-14 21:27:04.761892,2017-04-14 21:27:04.761892,13768
99,1,203,2017-04-14 21:29:18.093262,2017-04-14 21:29:18.093262,13789
100,1,1709,2017-04-14 21:38:05.201748,2017-04-14 21:38:05.201748,13824
101,1,630,2017-04-14 21:48:09.900333,2017-04-14 21:48:09.900333,13521
102,1,3833,2017-04-14 21:59:25.76528,2017-04-14 21:59:25.76528,13806
103,1,70,2017-04-14 22:14:36.201361,2017-04-14 22:14:36.201361,13591
104,1,318,2017-04-14 23:15:30.761302,2017-04-14 23:15:30.761302,13510
105,1,200,2017-04-14 23:34:37.349712,2017-04-14 23:34:37.349712,13542
106,1,193,2017-04-15 07:16:37.096065,2017-04-15 07:16:37.096065,13710
107,1,10251,2017-04-15 15:26:09.24218,2017-04-15 15:26:09.24218,13769
108,1,582,2017-04-15 17:16:25.861686,2017-04-15 17:16:25.861686,13814
109,1,4010,2017-04-16 11:36:47.852377,2017-04-16 11:36:47.852377,13774
110,1,319,2017-04-16 19:01:26.037468,2017-04-16 19:01:26.037468,13670
111,1,124,2017-04-17 02:29:54.193653,2017-04-17 02:29:54.193653,13621
112,1,289,2017-04-17 02:40:53.232283,2017-04-17 02:40:53.232283,13711
113,1,143,2017-04-17 11:56:53.966866,2017-04-17 11:56:53.966866,13707
114,1,55,2017-04-17 12:14:05.051343,2017-04-17 12:14:05.051343,13731
115,1,96,2017-04-17 12:16:23.63142,2017-04-17 12:16:23.63142,13656
116,1,14330,2017-04-17 12:20:33.624655,2017-04-17 12:20:33.624655,13686
117,1,386,2017-04-17 12:24:08.287302,2017-04-17 12:24:08.287302,13635
118,1,427,2017-04-17 12:24:30.426607,2017-04-17 12:24:30.426607,13719
119,1,673,2017-04-17 12:26:24.914059,2017-04-17 12:26:24.914059,13644
120,1,305,2017-04-17 12:29:39.229554,2017-04-17 12:29:39.229554,13770
121,1,20,2017-04-17 12:46:59.727827,2017-04-17 12:46:59.727827,13556
122,1,3187,2017-04-17 12:48:54.989746,2017-04-17 12:48:54.989746,13777
124,1,99,2017-04-17 13:13:00.977346,2017-04-17 13:13:00.977346,13531
127,1,15079,2017-04-17 13:36:47.171483,2017-04-17 13:36:47.171483,13514
128,1,37,2017-04-17 14:03:01.953069,2017-04-17 14:03:01.953069,13691
129,1,666,2017-04-17 14:04:22.712293,2017-04-17 14:04:22.712293,13566
130,1,472,2017-04-17 14:07:44.058157,2017-04-17 14:07:44.058157,13669
132,1,12173,2017-04-17 14:40:58.44706,2017-04-17 14:40:58.44706,13679
133,1,210,2017-04-17 14:42:43.561752,2017-04-17 14:42:43.561752,13680
